stored_sample_id,genotype,age,group,gene,ct_rep1,ct_rep2,ct_rep3,ct_mean,ct_sd,qc_fail,ref_geomean,delta_ct,cal_dct,delta_delta_ct,relative_expression
A011,DD,2-year,DD-2-year,FUT1/2,26.614,26.89,26.869,26.791,0.1536456963276222,False,22.8535,3.937500000000004,3.833309523809524,0.1041904761904795,0.9303268203727696
A012,DD,2-year,DD-2-year,PRKCD,25.531,25.225,25.683,25.479666666666663,0.2332752308611715,False,22.841500000000003,2.63816666666666,3.7783333333333338,-1.140166666666674,2.204064840601172
A012,DD,2-year,DD-2-year,NOTCH1,25.917,26.028,26.381,26.108666666666664,0.2422897714170641,False,22.841500000000003,3.267166666666661,4.667041666666668,-1.3998750000000069,2.6387871781541445
A012,DD,2-year,DD-2-year,GSN,24.372,24.307,24.257,24.312,0.0576628129733532,False,22.841500000000003,1.4704999999999977,2.78475,-1.314250000000002,2.4867302179837343
A012,DD,2-year,DD-2-year,CCNG1,26.007,25.922,25.985,25.97133333333333,0.0441172679722276,False,22.841500000000003,3.1298333333333304,4.343083333333334,-1.213250000000004,2.318593650662156
A012,DD,2-year,DD-2-year,CHST11,27.849,27.69,27.83,27.789666666666665,0.0868350927524877,False,22.841500000000003,4.948166666666662,4.4579166666666685,0.4902499999999934,0.7119017239411213
A012,DD,2-year,DD-2-year,ODC1,28.381,27.906,28.065,28.11733333333333,0.2417857178026311,False,22.841500000000003,5.275833333333331,3.9957857142857134,1.2800476190476178,0.4117819167202082
A012,DD,2-year,DD-2-year,FUT1/2,27.028,26.99,26.893,26.970333333333333,0.0696156112760146,False,22.841500000000003,4.128833333333329,3.833309523809524,0.2955238095238051,0.8147764520252516
A013,DD,2-year,DD-2-year,PRKCD,25.927,26.289,26.401,26.20566666666667,0.2477444920343004,False,22.857833333333332,3.347833333333334,3.7783333333333338,-0.4304999999999999,1.3477005733630223
A013,DD,2-year,DD-2-year,NOTCH1,26.537,26.624,26.689,26.616666666666664,0.0762648892566783,False,22.857833333333332,3.758833333333328,4.667041666666668,-0.9082083333333396,1.876713381474138
A013,DD,2-year,DD-2-year,GSN,25.103,25.219,25.069,25.130333333333336,0.0786468901695003,False,22.857833333333332,2.272500000000001,2.78475,-0.512249999999999,1.4262728502022994
A013,DD,2-year,DD-2-year,CCNG1,26.806,26.282,26.263,26.450333333333333,0.3081628357432696,False,22.857833333333332,3.5924999999999976,4.343083333333334,-0.7505833333333367,1.6824729771446083
A013,DD,2-year,DD-2-year,CHST11,27.481,27.717,27.813,27.67033333333333,0.1708488610829255,False,22.857833333333332,4.8124999999999964,4.4579166666666685,0.3545833333333279,0.7820954885481758
A013,DD,2-year,DD-2-year,ODC1,27.737,27.54,27.674,27.65033333333333,0.1006098073416964,False,22.857833333333332,4.792499999999997,3.9957857142857134,0.7967142857142835,0.5756587390134603
A013,DD,2-year,DD-2-year,GALNT,28.436,28.353,28.329,28.372666666666664,0.0561456439390739,False,22.857833333333332,5.514833333333328,4.662041666666667,0.8527916666666613,0.5537122456528755
A013,DD,2-year,DD-2-year,FUT1/2,27.098,27.359,26.97,27.14233333333333,0.1982532051022983,False,22.857833333333332,4.284499999999994,3.833309523809524,0.4511904761904701,0.7314390335190085
A014,DD,2-year,DD-2-year,NOTCH1,26.054,26.115,26.038,26.069,0.0406324993078193,False,22.74533333333333,3.3236666666666643,4.667041666666668,-1.3433750000000035,2.5374422707981057
A014,DD,2-year,DD-2-year,GSN,25.023,24.872,24.551,24.81533333333333,0.2410484045442609,False,22.74533333333333,2.0699999999999967,2.78475,-0.7147500000000031,1.6411987948990054
A014,DD,2-year,DD-2-year,CCNG1,26.041,25.643,25.78,25.82133333333333,0.2021938014216391,False,22.74533333333333,3.075999999999997,4.343083333333334,-1.2670833333333371,2.406745067030523
