Genotype,Age,Time,Observation_within_time,Source_sheet,Source_row,THC_recorded,THC_converted,MOR_converted,MOR_ratio_stored,PHA_recorded,PHA_converted,PHA_ratio_stored,ROS_recorded,MOR_ratio_same_animal,PHA_ratio_same_animal
GD,1-year,168,4,1龄,93,2027.23,409.50046,20.83656,0.050882873245124,203.0,23.345,0.0570084829697138,31977.7,0.050882873245124,0.0570084829697138
GD,1-year,168,5,1龄,94,,,16.4526,0.0366543837446365,158.84,18.2666,0.0406957542339677,,,
GG,2-year,0,1,2龄,4,952.59,192.42318,4.17792,0.021712145075245,68.02,7.8222999999999985,0.0406515472824012,56720.5,0.021712145075245,0.0406515472824012
GG,2-year,0,2,2龄,5,922.67,186.37934,4.15752,0.0223067642583131,74.69,8.589349999999998,0.0460853118162131,49560.1,0.0223067642583131,0.0460853118162131
GG,2-year,0,3,2龄,6,733.26,148.11852,3.54756,0.0239508199244766,81.9,9.4185,0.0635875918825005,45813.0,0.0239508199244766,0.0635875918825005
GG,2-year,0,4,2龄,7,981.28,198.21856,3.08856,0.0155815883235152,70.76,8.1374,0.0410526642913761,44054.8,0.0155815883235152,0.0410526642913761
GG,2-year,0,5,2龄,8,945.55,191.0011,2.92332,0.0153052521687047,48.13,5.53495,0.028978628918891,45290.9,0.0153052521687047,0.028978628918891
DD,2-year,0,1,2龄,9,1379.22,278.60244000000006,3.988200000000001,0.0143150217923432,107.25,12.333749999999998,0.0442700717194005,117137.8,0.0143150217923432,0.0442700717194005
DD,2-year,0,2,2龄,10,1242.29,250.94258,4.2126,0.016787107233854,74.69,8.589349999999998,0.0342283481743114,121554.2,0.016787107233854,0.0342283481743114
DD,2-year,0,3,2龄,11,1051.48,212.39896,4.16568,0.0196125254097289,39.01,4.486149999999999,0.0211213369406328,114005.4,0.0196125254097289,0.0211213369406328
DD,2-year,0,4,2龄,12,1481.62,299.28724,4.53696,0.0151592162766444,38.94,4.4781,0.0149625490214684,116932.7,0.0151592162766444,0.0149625490214684
DD,2-year,0,5,2龄,13,1385.48,279.86696,8.823,0.0315256934937943,22.07,2.53805,0.0090687732485463,121108.6,0.0315256934937943,0.0090687732485463
