Figure 4F: GO enrichment of one-year-specific OD-high genes,,,,,,,,
,,,,,,,,
GO_ID,Description,Category,target_count,bg_count,fold_enrichment,gene_ratio,pvalue,padj
GO:0006418,tRNA aminoacylation for protein translation,biological_process,7,97,1.15463917525773,0.0052316890881913,0.404008792819727,1
GO:0000774,adenyl-nucleotide exchange factor activity,molecular_function,3,37,1.2972972972973,0.0022421524663677,0.409962818937565,1
GO:0004812,aminoacyl-tRNA ligase activity,molecular_function,7,98,1.14285714285714,0.0052316890881913,0.414393043886648,1
GO:0008324,cation transmembrane transporter activity,molecular_function,3,38,1.26315789473684,0.0022421524663677,0.426965671623895,1
GO:0016853,isomerase activity,molecular_function,3,38,1.26315789473684,0.0022421524663677,0.426965671623895,1
GO:0009378,four-way junction helicase activity,molecular_function,16,240,1.06666666666667,0.0119581464872945,0.431836508105461,1
GO:0006508,proteolysis,biological_process,31,480,1.03333333333333,0.023168908819133,0.45156699954562,1
GO:0017119,Golgi transport complex,cellular_component,6,86,1.11627906976744,0.0044843049327354,0.451727718552803,1
GO:0005219,ryanodine-sensitive calcium-release channel activity,molecular_function,4,55,1.16363636363636,0.0029895366218236,0.452982882180398,1
GO:0050662,coenzyme binding,molecular_function,13,196,1.06122448979592,0.0097159940209267,0.453599681817546,1
GO:0016787,hydrolase activity,molecular_function,41,641,1.02340093603744,0.0306427503736921,0.462118775592678,1
GO:0006874,cellular calcium ion homeostasis,biological_process,4,56,1.14285714285714,0.0029895366218236,0.466962933023239,1
GO:0006614,SRP-dependent cotranslational protein targeting to membrane,biological_process,8,119,1.07563025210084,0.0059790732436472,0.468407185158502,1
GO:0030001,metal ion transport,biological_process,9,136,1.05882352941176,0.0067264573991031,0.479301217056698,1
GO:0005783,endoplasmic reticulum,cellular_component,6,89,1.07865168539326,0.0044843049327354,0.485031200807051,1
GO:0042803,protein homodimerization activity,molecular_function,12,185,1.03783783783784,0.0089686098654708,0.489966134115021,1
GO:0004386,helicase activity,molecular_function,4,59,1.08474576271186,0.0029895366218236,0.508065070168068,1
GO:0030155,regulation of cell adhesion,biological_process,3,43,1.11627906976744,0.0022421524663677,0.508922846446559,1
GO:0030334,regulation of cell migration,biological_process,3,43,1.11627906976744,0.0022421524663677,0.508922846446559,1
GO:0045995,regulation of embryonic development,biological_process,3,43,1.11627906976744,0.0022421524663677,0.508922846446559,1
GO:0003854,3-beta-hydroxy-delta5-steroid dehydrogenase activity,molecular_function,5,76,1.05263157894737,0.0037369207772795,0.51928226302385,1
GO:0003887,DNA-directed DNA polymerase activity,molecular_function,5,76,1.05263157894737,0.0037369207772795,0.51928226302385,1
