Genotype,Age,Time,measure,unit,n,mean,sd,SEM
DD,2-year,0,PHA,percent,5,2.4730215820871875,1.4367781593389557,0.6425467265737858
DD,2-year,0,ROS,fluorescence arbitrary units,5,118147.74,3163.302994972191,1414.6721060372988
DD,2-year,0,THC,fold of genotype-age baseline mean,5,1.0,0.1275502228111638,0.0570421937502013
DD,2-year,24,MOR,percent,5,5.154078676949666,2.1072139786296944,0.9423747398707571
DD,2-year,24,PHA,percent,5,5.080033417297722,0.8324062454781622,0.3722633899569095
DD,2-year,24,ROS,fluorescence arbitrary units,5,56338.02,4340.411252058956,1941.09092198176
DD,2-year,24,THC,fold of genotype-age baseline mean,5,0.5246013434065893,0.0448385285760181,0.0200523995814086
DD,2-year,48,MOR,percent,5,7.113249079809707,1.788131950258385,0.7996769187034043
DD,2-year,48,PHA,percent,5,12.44007452743347,2.059121519388265,0.9208671382569624
DD,2-year,48,ROS,fluorescence arbitrary units,5,57509.1,2254.8854383316225,1008.4154243167836
DD,2-year,48,THC,fold of genotype-age baseline mean,5,0.1823873983385549,0.0269136228192059,0.0120361380289068
DD,2-year,96,MOR,percent,5,4.430416353852202,0.6114622997134215,0.2734542535675121
DD,2-year,96,PHA,percent,5,5.592205202788094,1.18765323767654,0.5311346746284915
DD,2-year,96,ROS,fluorescence arbitrary units,5,61640.64,10378.783238559325,4641.532969030813
DD,2-year,96,THC,fold of genotype-age baseline mean,5,0.367577510401233,0.0316788817244474,0.014167226597408
DD,2-year,168,MOR,percent,5,1.598123277435374,0.4354726129429254,0.1947492729759672
DD,2-year,168,PHA,percent,5,3.00708580027104,1.1451705874838054,0.5121358558894317
DD,2-year,168,ROS,fluorescence arbitrary units,5,129486.34,8771.36367237159,3922.673085359014
DD,2-year,168,THC,fold of genotype-age baseline mean,5,1.4730531231221589,0.1351755967402571,0.0604523646420627
GD,1-year,0,MOR,percent,5,4.057626705412736,2.019069221210533,0.9029552059808622
GD,1-year,0,PHA,percent,5,4.74526812667279,1.0128534578445676,0.4529618365972341
