gene,genotype,age,group,n_retained_records,mean_expr,sd_expr,median_expr,mean_ct,mean_delta_ct,sd_delta_ct,sem_expr,sem_delta_ct
ODC1,DD,2-year,DD-2-year,8,0.565029856888202,0.1335893199007835,0.5321623875397297,27.730749999999997,4.852416666666665,0.3250457965291508,0.0472309569979715,0.11492104346097262
ODC1,GD,1-year,GD-1-year,7,1.0235293294390826,0.22329836614127624,1.0849428483109471,26.59638095238095,3.9957857142857134,0.3481780849450159,0.08439884928240894,0.13159894638960487
ODC1,GD,2-year,GD-2-year,6,0.838457349193852,0.3279337551370977,0.7078905721939417,27.22861111111111,4.329,0.5036662364877927,0.13387839492011522,0.20562088001050915
ODC1,GG,1-year,GG-1-year,8,0.46594517963782917,0.07732449977958644,0.4714369843569426,27.889499999999998,5.114833333333333,0.2384782776038286,0.027338339073001636,0.08431480362967757
ODC1,GG,2-year,GG-2-year,8,0.37119073426187543,0.03881170310763697,0.37172015855422225,27.978749999999998,5.432583333333332,0.15304683379061987,0.01372200922840455,0.054110227006238874
PRKCD,DD,1-year,DD-1-year,7,1.658366319389628,0.38955765623987954,1.667476774196926,25.58785714285714,3.0865476190476193,0.3673691971084771,0.14723895424741576,0.13885250498492846
PRKCD,DD,2-year,DD-2-year,6,1.9546572725477394,0.5918723700100866,1.9639719830221498,25.770611111111112,2.8659722222222217,0.4343062081152051,0.24163088322941287,0.17730476700087522
PRKCD,GD,1-year,GD-1-year,6,1.0236284308282224,0.22300972017860946,1.0564867590186928,26.360500000000002,3.7783333333333338,0.3566254337536782,0.09104333701974178,0.14559172366587278
PRKCD,GD,2-year,GD-2-year,6,1.3376091304477853,0.5296395265783611,1.1131000977443837,26.330388888888887,3.4307777777777786,0.4661800041789614,0.2162244312877057,0.19031718975449752
PRKCD,GG,1-year,GG-1-year,7,2.20977589728306,0.3212069808747848,2.211972321729583,25.44804761904762,2.6474047619047627,0.20867857742770088,0.12140482725322295,0.07887308854577618
PRKCD,GG,2-year,GG-2-year,6,2.06824785712351,0.5703872801599961,2.1298363482741762,25.329166666666666,2.7831944444444425,0.44794908461498617,0.2328596320276509,0.18287444800892044
