gene_base,age,DD,GD,GG,delta_delta_DUI,hybrid_deviation_direction
PB.1253_0,2-year,0.017959597769547204,-0.05586794292693903,-0.029407930120656678,-0.05014377675138429,Negative hybrid deviation
PB.1255_0,1-year,-0.06888562162564879,0.08847528446581565,0.21477219671333708,0.015531996921971505,Positive hybrid deviation
PB.1255_0,2-year,-0.023935707620577312,-0.005401755591043,0.09329938509537994,-0.040083594328444314,Negative hybrid deviation
PB.1261_0,1-year,0.06478912287343133,-0.33333333333333337,-0.2725015437373649,-0.22947712290136657,Negative hybrid deviation
PB.1261_0,2-year,0.20136005726556888,-0.0013268703121680492,-0.04324801329987338,-0.0803828922950158,Negative hybrid deviation
PB.1262_0,1-year,0.007669012139692635,-0.1336731747886773,-0.005128205128205443,-0.13494357829442089,Negative hybrid deviation
PB.1262_0,2-year,-0.0027065647452785037,0.04271563290617997,-0.0004356325657126625,0.04428673156167555,Positive hybrid deviation
PB.1267_0,1-year,0.029457485627337743,0.3460532494598347,-0.05894277212799387,0.36079589271016277,Positive hybrid deviation
PB.1267_0,2-year,-0.049498605311333765,-0.012818534854429242,0.03610611996843198,-0.006122292182978349,Negative hybrid deviation
PB.1270_1,1-year,0.0033627445169633896,0.09241094688516521,-0.0102790014684288,0.09586907536089792,Positive hybrid deviation
PB.1270_1,2-year,0.006179425217037959,0.006501653666200313,0,0.0034119410576813336,Positive hybrid deviation
PB.1271_0,1-year,0.029715907871814717,-0.029063736776539617,-0.0014979054318042806,-0.043172737996544835,Negative hybrid deviation
PB.1271_0,2-year,0.16287442230078497,0.12282494849314707,-0.019212588813012466,0.050994031749260815,Positive hybrid deviation
PB.1272_0,1-year,-0.036941364540885036,0.02137269399863162,-0.009892300465267428,0.04478952650170785,Positive hybrid deviation
PB.1272_0,2-year,-0.042604932140712704,0.04740101212362066,0.0039001888769880644,0.06675338375548298,Positive hybrid deviation
PB.1275_0,1-year,-0.014815728667795576,-0.17809377979565427,0.048118963888003234,-0.1947453974057581,Negative hybrid deviation
PB.1275_0,2-year,-0.013372454093212631,-0.001844443679001495,-0.024096038672887832,0.01688980270404874,Positive hybrid deviation
PB.1276_0,1-year,0.3253962311779717,-0.044381177191101046,0.013228180012632665,-0.2136933827864032,Negative hybrid deviation
PB.1276_0,2-year,0.0006443148459103765,-0.05309798491144903,-0.04992483611403866,-0.028457724277384886,Negative hybrid deviation
PB.1278_0,1-year,-0.029144517118698268,0.05732069721270405,-0.003863030781558807,0.07382447116283258,Positive hybrid deviation
PB.1278_0,2-year,0.0134365410080177,0.10896885503868364,0.0017096334949142644,0.10139576778721766,Positive hybrid deviation
PB.1279_0,1-year,0.004443534746152222,-0.004924362219186684,0.004863120514065344,-0.009577689849295468,Negative hybrid deviation
PB.1279_0,2-year,0.00219682555137235,7.692966437899962e-05,0.006704580137015914,-0.0043737731798151325,Negative hybrid deviation
PB.1280_0,1-year,0.12688770118078296,-0.05948659489019503,-0.002223596450271717,-0.12181864725545066,Negative hybrid deviation
PB.1280_0,2-year,0.031843229808295126,0.04449833211000537,0.006637350321127777,0.025258042045293916,Positive hybrid deviation
PB.1282_0,1-year,-0.4214065600061212,0.11836005943571683,-0.008985464809640659,0.33355607184359776,Positive hybrid deviation
PB.1282_0,2-year,-0.06684823774718801,0.04731085988292316,-0.039663496530879694,0.10056672702195701,Positive hybrid deviation
PB.1283_0,1-year,0.028329758736497568,0.06415433138923565,-0.20195409473032921,0.15096649938615148,Positive hybrid deviation
PB.1283_0,2-year,-0.025042194728210454,0.203122159346526,-0.024910890119321683,0.22809870177029207,Positive hybrid deviation
PB.1293_0,1-year,-0.23920152612574497,0.006011163434947231,-0.12774993038150956,0.1894868916885745,Positive hybrid deviation
PB.1293_0,2-year,-0.0014267368085643106,0.004754620620064043,0.16146018843843174,-0.07526210519486967,Negative hybrid deviation
PB.1296_0,1-year,-0.02245901299986723,-0.053254204113239306,-0.2216079177833344,0.06877926127836151,Positive hybrid deviation
PB.1296_0,2-year,0.0026837549259550453,-0.014018391005505629,-0.14494624633964096,0.057112854701337326,Positive hybrid deviation
PB.1302_0,1-year,-0.341324403090378,-0.06831920828246338,-0.0026726246124429997,0.10367930556894711,Positive hybrid deviation
PB.1302_0,2-year,-0.007849420717357392,-0.06141236517824569,-0.012429660104078734,-0.05127282476752763,Negative hybrid deviation
PB.1304_0,1-year,0.2368134747417795,-0.02160321792948977,0.03769346681819005,-0.15885668870947456,Negative hybrid deviation
PB.1304_0,2-year,-0.034891730649294295,0.0788150398752614,-0.03905458738390097,0.11578819889185903,Positive hybrid deviation
PB.130_0,1-year,0,0.24946616690802725,-0.006966929569669045,0.2529496316928618,Positive hybrid deviation
PB.130_0,2-year,0,0,0,0,No hybrid deviation
PB.1310_0,1-year,-0.012151691539731613,0.007943185594120994,0.011255105880356386,0.008391478423808607,Positive hybrid deviation
PB.1310_0,2-year,0.012902558460408442,-0.034007977931188704,-0.003307563692367399,-0.038805475315209226,Negative hybrid deviation
PB.1315_0,1-year,-0.27778819265662846,0.2512274635985989,7.925303659740002e-05,0.3900819334086144,Positive hybrid deviation
PB.1315_0,2-year,0.08040094446200399,0.12131222942502895,0.25721623277998257,-0.047496359195964344,Negative hybrid deviation
PB.1316_0,1-year,-0.048319013370022035,-0.057888032083219854,-0.015614262999915932,-0.02592139389825087,Negative hybrid deviation
PB.1316_0,2-year,-0.07563275230866272,0.048061888861475624,-0.022403258655804465,0.09707989434370921,Positive hybrid deviation
PB.1317_0,1-year,0.2871550472019953,-0.058327444515320015,0.22808117317716303,-0.31594555470489916,Negative hybrid deviation
PB.1317_0,2-year,0.03035489546105269,0.03589623345988335,-0.2044961597452764,0.12296686560199521,Positive hybrid deviation
PB.1318_0,1-year,-0.012478846867617431,-0.046917288816505365,0.017929568227345316,-0.049642649496369304,Negative hybrid deviation
PB.1318_0,2-year,0.02894024038747458,0.07464681724538887,-0.15056585710344506,0.1354596256033741,Positive hybrid deviation
PB.131_0,1-year,0.15285808626450564,-0.13721156384625735,0.004331257513514007,-0.2158062357352672,Negative hybrid deviation
PB.131_0,2-year,-0.011613237360780626,0.21998551600142963,0.015725380017065662,0.21792944467328712,Positive hybrid deviation
PB.1320_0,1-year,0.34073815073815067,0.12573731366834834,0.24338624338624362,-0.16632488339384882,Negative hybrid deviation
PB.1320_0,2-year,0.1882332643202203,0.14563492063492067,-0.27175925925925937,0.1873979181044402,Positive hybrid deviation
PB.1321_0,1-year,-0.1393025428313197,0.11119757336670932,-0.0016171853756210552,0.1816574374701797,Positive hybrid deviation
PB.1321_0,2-year,-0.012549560453393394,0.04171088291962044,-0.00830930101467331,0.05214031365365379,Positive hybrid deviation
PB.1323_0,1-year,0,0.036216613915264206,0,0.036216613915264206,Positive hybrid deviation
PB.1323_0,2-year,0,0.21099675560459868,-0.22891258245949336,0.3254530468343454,Positive hybrid deviation
PB.132_0,1-year,0.000581680965240805,0.003353590970313014,0.12079323868747197,-0.05733386885604337,Negative hybrid deviation
PB.132_0,2-year,-0.06707191575621829,0.056091871321399644,-0.021726677192237198,0.10049116779562739,Positive hybrid deviation
PB.1335_0,1-year,0.06910479044196671,0.02601325305861768,0,-0.008539142162365676,Negative hybrid deviation
PB.1335_0,2-year,-0.046448291445477685,0.08848629440734695,-0.004176701557966261,0.11379879090906893,Positive hybrid deviation
PB.1336_0,1-year,-0.17438720017673903,-0.035456363574371985,-0.2371176469057107,0.17029605996685288,Positive hybrid deviation
PB.1336_0,2-year,-0.21743866354717134,-0.11460916050863507,-0.06776723488481434,0.027993788707357775,Positive hybrid deviation
PB.1337_0,1-year,-0.08441783575935835,0.06799795088910032,0.019941360470518033,0.10023618853352048,Positive hybrid deviation
PB.1337_0,2-year,0.03583444258118673,0.10484938013088863,-0.010224009520825583,0.09204416360070805,Positive hybrid deviation
PB.1344_0,1-year,-0.008851273745895671,0.2545515171159296,0,0.25897715398887744,Positive hybrid deviation
